koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_teq,kepid,kepoi_name,koi_disposition,koi_pdisposition
1.0,0,0,0,0,9.48803557,0.146,2.9575,616.0,35.8,793.0,10797460,K00752.01,CONFIRMED,CANDIDATE
0.969,0,0,0,0,54.4183827,0.586,4.507,875.0,25.8,443.0,10797460,K00752.02,CONFIRMED,CANDIDATE
0.0,0,0,0,0,19.89913995,0.969,1.7822,10800.0,76.3,638.0,10811496,K00753.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,1.736952453,1.276,2.40641,8080.0,505.6,1395.0,10848459,K00754.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,2.525591777,0.701,1.6545,603.0,40.9,1406.0,10854555,K00755.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,11.09432054,0.538,4.5945,1520.0,66.5,835.0,10872983,K00756.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.13443512,0.762,3.1402,686.0,40.2,1160.0,10872983,K00756.02,CONFIRMED,CANDIDATE
0.992,0,0,0,0,2.56658897,0.755,2.429,227.0,15.0,1360.0,10872983,K00756.03,CONFIRMED,CANDIDATE
0.0,0,1,1,0,7.36178958,1.169,5.022,234.0,47.7,1342.0,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,16.06864674,0.052,3.5347,4910.0,161.9,600.0,10910878,K00757.01,CONFIRMED,CANDIDATE
0.811,0,0,0,0,2.470613377,0.818,1.74319,14200.0,4304.3,1339.0,11446443,K00001.01,CONFIRMED,CANDIDATE
1.0,0,1,0,0,2.204735417,0.224,3.88864,6670.0,5945.9,2048.0,10666592,K00002.01,CONFIRMED,CANDIDATE
0.998,0,0,0,0,3.522498429,0.631,3.19843,9150.0,1741.5,1521.0,6922244,K00010.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,3.709214104,0.051,2.6302,131.0,50.6,1206.0,10984090,K00112.02,CONFIRMED,CANDIDATE
0.0,0,1,0,0,11.52144606,2.483,3.6399,18000.0,622.1,753.0,10419211,K00742.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,19.40393776,0.804,12.2155,8920.0,214.7,523.0,10464078,K00743.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,19.22138894,1.065,4.79843,74300.0,2317.0,698.0,10480982,K00744.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,16.46983774,0.292,9.4378,10500.0,303.4,595.0,10485250,K00745.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,9.27358173,0.387,3.2875,1290.0,87.2,649.0,10526549,K00746.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,6.02930329,0.258,1.5821,1910.0,65.4,678.0,10583066,K00747.01,CONFIRMED,CANDIDATE
0.0,0,1,1,1,2.696370652,0.044,3.6129,398.0,48.2,1066.0,10583180,K00748.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,5.349553819,0.092,3.0278,831.0,60.6,919.0,10601284,K00749.01,CONFIRMED,CANDIDATE
0.98,0,0,0,0,3.94105221,0.226,2.5984,363.0,28.9,1018.0,10601284,K00749.02,CONFIRMED,CANDIDATE
0.971,0,0,0,0,8.10904807,0.025,3.596,217.0,14.1,800.0,10601284,K00749.03,CONFIRMED,CANDIDATE
0.334,0,1,0,0,386.6030528,0.9765,6.8057,24900.0,994.0,297.0,2306756,K00113.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,21.67699193,0.896,3.4555,857.0,34.3,530.0,10662202,K00750.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.99677968,0.71,2.1717,935.0,28.2,917.0,10682541,K00751.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.280963604,0.424,2.875,751.0,61.8,1012.0,11460018,K00769.01,CONFIRMED,CANDIDATE
0.0,0,0,1,0,1.50635409,0.86,1.5155,2210.0,181.1,1452.0,11463211,K00770.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,0,670.645531,0.701,53.412,18100.0,642.7,196.0,11465813,K00771.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,61.2563628,1.248,7.633,5120.0,85.3,505.0,11493732,K00772.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,38.3775486,0.468,5.588,724.0,34.7,529.0,11507101,K00773.01,CONFIRMED,CANDIDATE
0.992,0,0,0,0,41.19725502,0.045,4.6297,2210.0,51.2,439.0,10910878,K00757.02,CONFIRMED,CANDIDATE
1.0,0,0,0,0,6.252962249,0.105,2.5819,1040.0,47.1,823.0,10910878,K00757.03,CONFIRMED,CANDIDATE
1.0,0,0,0,0,16.01308419,0.799,3.2554,1120.0,33.2,593.0,10987985,K00758.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,32.62876672,0.021,4.7971,1800.0,80.0,506.0,11018648,K00759.01,CONFIRMED,CANDIDATE
0.978,0,0,0,0,91.7732862,0.606,6.473,652.0,19.1,359.0,11018648,K00759.02,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.959319244,0.831,2.22739,9800.0,696.5,1103.0,11138155,K00760.01,CONFIRMED,CANDIDATE
0.0,0,1,1,0,2.701287801,1.016,3.3827,860.0,48.3,1222.0,11152159,K00761.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,4.49876511,0.312,3.7362,460.0,29.5,1133.0,11153539,K00762.01,CONFIRMED,CANDIDATE
0.0,0,1,0,0,19.65120951,0.723,5.2514,11800.0,513.4,730.0,11242721,K00763.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,5.412203927,0.787,2.9472,602.0,166.7,1093.0,9579641,K00115.01,CONFIRMED,CANDIDATE
0.998,0,0,0,0,41.43958662,0.355,10.5989,2790.0,141.1,516.0,11304958,K00764.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,8.35389523,0.023,2.2514,1040.0,43.4,790.0,11391957,K00765.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.125543472,0.597,3.1744,1490.0,128.6,1243.0,11403044,K00766.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,2.816504904,0.105,2.50587,16800.0,1406.8,1219.0,11414511,K00767.01,CONFIRMED,CANDIDATE
0.0,0,1,1,0,33.93373447,0.812,14.561,8500.0,236.1,430.0,11442465,K00768.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,3.689920099,0.151,2.6557,427.0,35.6,1147.0,12110942,K00786.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,4.431238488,0.405,3.15,1010.0,71.1,1104.0,12366084,K00787.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,11.37936986,0.911,2.6255,1020.0,37.9,806.0,12366084,K00787.02,CONFIRMED,CANDIDATE
1.0,0,0,0,0,26.39432897,0.602,3.573,1510.0,48.2,489.0,12404086,K00788.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,13.57078281,0.866,3.3539,512.0,88.4,785.0,8395660,K00116.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,7.12594387,0.898,3.0014,192.0,47.1,997.0,9579641,K00115.02,CONFIRMED,CANDIDATE
0.014,0,1,0,0,7.442652004,0.137,2.3078,24400.0,835.6,967.0,11656840,K00774.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,16.38489988,0.001,3.0249,1130.0,28.9,433.0,11754553,K00775.01,CONFIRMED,CANDIDATE
1.0,0,0,0,0,7.8774163,0.041,2.0805,1310.0,38.7,553.0,11754553,K00775.02,CONFIRMED,CANDIDATE
1.0,0,0,0,0,36.4454001,0.028,4.007,1120.0,21.7,332.0,11754553,K00775.03,CONFIRMED,CANDIDATE
1.0,0,0,0,0,3.728732147,0.558,2.683,5230.0,345.2,1023.0,11812062,K00776.01,CONFIRMED,CANDIDATE
0.999,0,0,0,0,40.4195037,0.911,3.362,6260.0,36.9,467.0,11818800,K00777.01,CANDIDATE,CANDIDATE
